G1	G2	G3	G4	G5	G6	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3777.0","main.cluster index_upperinput":"3777.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=12&task=66703c9eef3c4eef8917db72142f5953&show=true	N/A	N/A	N/A	6.6071	6.6071	0	N/A	N/A	28126265.758875165	1	3777	12	1	474.2924	1	474.2924	28126265.758875165
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1327.0","main.cluster index_upperinput":"1327.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=71&task=66703c9eef3c4eef8917db72142f5953&show=true	N/A	N/A	N/A	16.6080	16.6080	0	N/A	N/A	38326813.35674968	1	1327	71	1	651.2786	1	651.2786	38326813.35674968
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3471.0","main.cluster index_upperinput":"3471.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=87&task=66703c9eef3c4eef8917db72142f5953&show=true	N/A	N/A	N/A	27.3805	27.3805	0	N/A	N/A	318566552.37875247	3	3471	87	3	744.5846	1	744.5846	318566552.37875247
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2655.0","main.cluster index_upperinput":"2655.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=5&task=66703c9eef3c4eef8917db72142f5953&show=true	N/A	N/A	N/A	27.0353	27.0353	0	N/A	N/A	5222375.251796984	2	2655	5	2	671.6473	1	671.6473	5222375.251796984
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2961.0","main.cluster index_upperinput":"2961.0"}	This Node is a Singleton	N/A	N/A	N/A	10.7841	10.7841	0	N/A	N/A	7019533.578968748	2	2961	-1	2	307.1883	1	307.1883	7019533.578968748
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"512.0","main.cluster index_upperinput":"512.0"}	This Node is a Singleton	N/A	N/A	N/A	7.7239	7.7239	0	N/A	N/A	12541594.710374964	1	512	-1	1	270.1184	1	270.1184	12541594.710374964
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1226.0","main.cluster index_upperinput":"1226.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=154&task=66703c9eef3c4eef8917db72142f5953&show=true	1S/C9H8O3/c10-8-6-4-1-2-5(3-4)7(6)9(11)12-8/h1-2,4-7H,3H2	Massbank:LU122002 2-Norbornene-5,6-dicarboxylic anhydride|5-Norbornene-2,3-dicarboxylic anhydride|4-oxatricyclo[5.2.1.02,6]dec-8-ene-3,5-dione	0.9290729999999999	5.5656	5.5656	0	O=C1OC(=O)C2C3CC(C=C3)C12	CCMSLIB00005766895	82967674.91165045	4	1226	154	4	165.0547	1	165.0547	82967674.91165045
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1429.0","main.cluster index_upperinput":"1429.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=285&task=66703c9eef3c4eef8917db72142f5953&show=true	N/A	N/A	N/A	36.1221	36.1221	0	N/A	N/A	59888622.80973194	3	1429	285	3	1048.8268	1	1048.8268	59888622.80973194
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"5412.0","main.cluster index_upperinput":"5412.0"}	This Node is a Singleton	N/A	N/A	N/A	20.1328	20.1328	0	N/A	N/A	9786420.979374807	4	5412	-1	4	301.1417	1	301.1417	9786420.979374807
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"4288.0","main.cluster index_upperinput":"4288.0"}	This Node is a Singleton	N/A	N/A	N/A	4.5820	4.5820	0	N/A	N/A	13331913.392070314	4	4288	-1	4	201.1123	1	201.1123	13331913.392070314
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"205.0","main.cluster index_upperinput":"205.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=12&task=66703c9eef3c4eef8917db72142f5953&show=true	N/A	N/A	N/A	6.1628	6.1628	0	N/A	N/A	28187705.012255915	4	205	12	4	476.3066	1	476.3066	28187705.012255915
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1328.0","main.cluster index_upperinput":"1328.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=285&task=66703c9eef3c4eef8917db72142f5953&show=true	N/A	N/A	N/A	35.1231	35.1231	0	N/A	N/A	82616495.47437441	2	1328	285	2	1224.9331	1	1224.9331	82616495.47437441
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3778.0","main.cluster index_upperinput":"3778.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=245&task=66703c9eef3c4eef8917db72142f5953&show=true	N/A	N/A	N/A	5.9962	5.9962	0	N/A	N/A	37918131.71388732	2	3778	245	2	315.1339	1	315.1339	37918131.71388732
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2145.0","main.cluster index_upperinput":"2145.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=37&task=66703c9eef3c4eef8917db72142f5953&show=true	N/A	N/A	N/A	1.0894	1.0894	0	N/A	N/A	73221845.65623437	4	2145	37	4	195.9489	1	195.9489	73221845.65623437
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3982.0","main.cluster index_upperinput":"3982.0"}	This Node is a Singleton	N/A	N/A	N/A	5.1699	5.1699	0	N/A	N/A	29036922.801981915	4	3982	-1	4	257.0997	1	257.0997	29036922.801981915
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3472.0","main.cluster index_upperinput":"3472.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=253&task=66703c9eef3c4eef8917db72142f5953&show=true	N/A	N/A	N/A	31.7637	31.7637	0	N/A	N/A	7317210.086528383	3	3472	253	3	758.5959	1	758.5959	7317210.086528383
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1022.0","main.cluster index_upperinput":"1022.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=47&task=66703c9eef3c4eef8917db72142f5953&show=true	N/A	N/A	N/A	26.5335	26.5335	0	N/A	N/A	346690991.0188211	4	1022	47	4	652.5011	1	652.5011	346690991.0188211
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"5413.0","main.cluster index_upperinput":"5413.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=199&task=66703c9eef3c4eef8917db72142f5953&show=true	N/A	N/A	N/A	2.3435	2.3435	0	N/A	N/A	5267482.795874995	1	5413	199	1	312.1289	1	312.1289	5267482.795874995
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1227.0","main.cluster index_upperinput":"1227.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=47&task=66703c9eef3c4eef8917db72142f5953&show=true	N/A	N/A	N/A	25.9789	25.9789	0	N/A	N/A	73686326.86729495	3	1227	47	3	802.5885	1	802.5885	73686326.86729495
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"4289.0","main.cluster index_upperinput":"4289.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=154&task=66703c9eef3c4eef8917db72142f5953&show=true	InChI=1S/C11H10O4/c1139573411(12)158(7)610(9)142/h36H,12H3	(4S,5Z,6S)-4-(2-methoxy-2-oxoethyl)-5-[2-[(E)-3-phenylprop-2-enoyl]oxyethylidene]-6-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4H-pyran-3-carboxylic acid	0.817567	6.4822	6.4822	0	N/A	CCMSLIB00004719147	12525253.464649882	3	4289	154	3	207.0652	1	207.0652	12525253.464649882
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2963.0","main.cluster index_upperinput":"2963.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=405&task=66703c9eef3c4eef8917db72142f5953&show=true	N/A	N/A	N/A	11.0003	11.0003	0	N/A	N/A	10124695.815937707	2	2963	405	2	429.1540	1	429.1540	10124695.815937707
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3473.0","main.cluster index_upperinput":"3473.0"}	This Node is a Singleton	N/A	N/A	N/A	4.6027	4.6027	0	N/A	N/A	2882896.912281225	1	3473	-1	1	316.0663	1	316.0663	2882896.912281225
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1023.0","main.cluster index_upperinput":"1023.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=168&task=66703c9eef3c4eef8917db72142f5953&show=true	N/A	N/A	N/A	14.3478	14.3478	0	N/A	N/A	261528502.93389627	4	1023	168	4	301.2856	1	301.2856	261528502.93389627
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"207.0","main.cluster index_upperinput":"207.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=12&task=66703c9eef3c4eef8917db72142f5953&show=true	N/A	N/A	N/A	23.3276	23.3276	0	N/A	N/A	194415404.671953	4	207	12	4	658.5120	1	658.5120	194415404.671953
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"208.0","main.cluster index_upperinput":"208.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=544&task=66703c9eef3c4eef8917db72142f5953&show=true	N/A	N/A	N/A	41.3077	41.3077	0	N/A	N/A	300359751.7749993	4	208	544	4	299.9128	1	299.9128	300359751.7749993
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3167.0","main.cluster index_upperinput":"3167.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=66&task=66703c9eef3c4eef8917db72142f5953&show=true	N/A	N/A	N/A	4.4201	4.4201	0	N/A	N/A	3581822.0272500077	2	3167	66	2	263.1027	1	263.1027	3581822.0272500077
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2656.0","main.cluster index_upperinput":"2656.0"}	This Node is a Singleton	N/A	N/A	N/A	29.4152	29.4152	0	N/A	N/A	10209891.885615282	4	2656	-1	4	671.4888	1	671.4888	10209891.885615282
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"513.0","main.cluster index_upperinput":"513.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=157&task=66703c9eef3c4eef8917db72142f5953&show=true	N/A	N/A	N/A	6.8059	6.8059	0	N/A	N/A	61375388.99935907	4	513	157	4	460.2756	1	460.2756	61375388.99935907
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"5414.0","main.cluster index_upperinput":"5414.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=281&task=66703c9eef3c4eef8917db72142f5953&show=true	N/A	N/A	N/A	2.0713	2.0713	0	N/A	N/A	5621153.90798364	4	5414	281	4	158.0812	1	158.0812	5621153.90798364
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3779.0","main.cluster index_upperinput":"3779.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=226&task=66703c9eef3c4eef8917db72142f5953&show=true	N/A	N/A	N/A	10.2690	10.2690	0	N/A	N/A	40699950.7929293	2	3779	226	2	371.1103	1	371.1103	40699950.7929293
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"4290.0","main.cluster index_upperinput":"4290.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=173&task=66703c9eef3c4eef8917db72142f5953&show=true	N/A	N/A	N/A	29.6340	29.6340	0	N/A	N/A	13723031.256171662	3	4290	173	3	366.3735	1	366.3735	13723031.256171662
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2146.0","main.cluster index_upperinput":"2146.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=285&task=66703c9eef3c4eef8917db72142f5953&show=true	N/A	N/A	N/A	34.8715	34.8715	0	N/A	N/A	15918908.809453193	2	2146	285	2	1312.9838	1	1312.9838	15918908.809453193
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3983.0","main.cluster index_upperinput":"3983.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=42&task=66703c9eef3c4eef8917db72142f5953&show=true	N/A	N/A	N/A	11.8129	11.8129	0	N/A	N/A	23452851.93062507	1	3983	42	1	638.2228	1	638.2228	23452851.93062507
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"514.0","main.cluster index_upperinput":"514.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=233&task=66703c9eef3c4eef8917db72142f5953&show=true	N/A	N/A	N/A	41.1023	41.1023	0	N/A	N/A	29150260.85671954	4	514	233	4	566.8888	1	566.8888	29150260.85671954
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2964.0","main.cluster index_upperinput":"2964.0"}	This Node is a Singleton	N/A	N/A	N/A	20.3221	20.3221	0	N/A	N/A	4559758.7466356745	2	2964	-1	2	454.3757	1	454.3757	4559758.7466356745
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"209.0","main.cluster index_upperinput":"209.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=12&task=66703c9eef3c4eef8917db72142f5953&show=true	N/A	N/A	N/A	24.7507	24.7507	0	N/A	N/A	209153513.5480674	4	209	12	4	584.4738	1	584.4738	209153513.5480674
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"210.0","main.cluster index_upperinput":"210.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=168&task=66703c9eef3c4eef8917db72142f5953&show=true	1S/C21H42N2O3/c1-4-5-6-7-8-9-10-11-12-13-14-16-20(24)22-17-15-18-23(2,3)19-21(25)26/h4-19H2,1-3H3,(H-,22,24,25,26)/p+1	Massbank: Myristamidopropyl betaine|carboxymethyl-dimethyl-[3-(tetradecanoylamino)propyl]azanium	0.929217	16.9227	16.9227	0	CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(O)=O	CCMSLIB00005726170	134344405.79625013	4	210	168	4	371.3271	1	371.3271	134344405.79625013
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1431.0","main.cluster index_upperinput":"1431.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=173&task=66703c9eef3c4eef8917db72142f5953&show=true	N/A	N/A	N/A	15.6244	15.6244	0	N/A	N/A	42862481.72942908	4	1431	173	4	332.3160	1	332.3160	42862481.72942908
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1228.0","main.cluster index_upperinput":"1228.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=36&task=66703c9eef3c4eef8917db72142f5953&show=true	N/A	N/A	N/A	14.1730	14.1730	0	N/A	N/A	60696360.61701216	4	1228	36	4	258.2065	1	258.2065	60696360.61701216
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=66703c9eef3c4eef8917db72142f5953&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1024.0","main.cluster index_upperinput":"1024.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=29&task=66703c9eef3c4eef8917db72142f5953&show=true	N/A	N/A	N/A	22.4005	22.4005	0	N/A	N/A	266736400.94881684	2	1024	29	2	383.2587	1	383.2587	266736400.94881684
